parameter_experience_id, parameter_id, experience_id, calc_status_code, calc_timestamp
411,13,77,0,2003-05-22 15:41:00
413,13,79,0,2003-05-22 15:44:00
414,13,80,0,2003-05-22 15:46:00
415,13,81,0,2003-05-22 15:47:00
416,13,82,0,2003-05-22 15:49:00
417,13,83,0,2003-05-22 15:51:00
418,13,84,0,2003-05-22 15:52:00
419,13,85,0,2003-05-22 15:54:00
420,13,86,0,2003-05-22 15:56:00
424,13,90,0,2003-05-22 15:58:00
437,13,103,0,2003-05-22 16:00:00
446,13,112,0,2003-05-22 16:01:00
447,13,113,0,2003-05-22 16:05:00
448,13,114,0,2003-05-22 16:08:00
449,13,115,0,2003-05-22 16:12:00
465,13,131,0,2003-05-22 16:15:00
466,13,132,0,2003-05-22 16:18:00
467,13,133,0,2003-05-22 16:21:00
468,13,134,0,2003-05-22 16:25:00
469,13,135,0,2003-05-22 16:28:00
470,13,136,0,2003-05-22 16:31:00
474,13,140,0,2003-05-22 16:33:00
476,13,142,0,2003-05-22 16:36:00
478,13,144,0,2003-05-22 16:38:00
479,13,145,0,2003-05-22 16:40:00
480,13,146,0,2003-05-22 16:43:00
481,13,147,0,2003-05-22 16:45:00
482,13,148,0,2003-05-22 16:48:00
483,13,149,0,2003-05-22 16:50:00
484,13,150,0,2003-05-22 16:53:00
485,13,151,0,2003-05-22 16:54:00
486,13,152,0,2003-05-22 16:56:00
490,13,156,0,2003-05-22 16:58:00
491,13,157,0,2003-05-22 17:01:00
492,13,158,0,2003-05-22 17:05:00
493,13,159,0,2003-05-22 17:08:00
494,13,160,0,2003-05-22 17:11:00
496,13,162,0,2003-05-22 17:13:00
497,13,163,0,2003-05-22 17:14:00
498,13,164,0,2003-05-22 17:15:00
499,13,165,0,2003-05-22 17:18:00
501,13,167,0,2003-05-22 17:21:00
502,13,168,0,2003-05-22 17:26:00
503,13,169,0,2003-05-22 17:28:00
504,13,170,0,2003-05-22 17:31:00
552,13,218,0,2003-05-22 12:42:00
553,13,219,0,2003-05-22 12:43:00
555,13,221,0,2003-05-22 12:44:00
556,13,222,0,2003-05-22 12:47:00
557,13,223,0,2003-05-22 12:50:00
558,13,224,0,2003-05-22 12:52:00
559,13,225,0,2003-05-22 12:55:00
563,13,229,0,2003-05-22 12:58:00
564,13,230,0,2003-05-22 13:00:00
565,13,231,0,2003-05-22 13:02:00
566,13,232,0,2003-05-22 13:05:00
568,13,234,0,2003-05-22 13:07:00
577,13,243,0,2003-05-22 13:09:00
701,11,48,0,2004-02-09 12:49:00
702,11,49,0,2004-02-09 12:52:00
703,11,50,0,2004-02-09 12:55:00
704,11,51,0,2004-02-09 12:58:00
705,11,52,0,2004-02-09 13:01:00
706,11,53,0,2004-02-09 13:03:00
707,11,54,0,2004-02-09 13:05:00
708,11,55,0,2004-02-09 13:07:00
709,11,56,0,2004-02-09 13:09:00
410,13,76,0,2003-05-22 15:40:00
710,11,57,0,2004-02-09 13:12:00
711,11,58,0,2004-02-09 13:14:00
712,11,59,0,2004-02-09 13:17:00
713,11,60,0,2004-02-09 13:20:00
714,11,61,0,2004-02-09 13:22:00
723,11,70,0,2004-02-09 13:25:00
724,11,71,0,2004-02-09 13:27:00
725,11,72,0,2004-02-09 13:30:00
726,11,73,0,2004-02-09 13:32:00
727,11,74,0,2004-02-09 13:34:00
728,11,75,0,2004-02-09 13:36:00
729,11,76,0,2004-02-09 13:39:00
730,11,77,0,2004-02-09 13:40:00
732,11,79,0,2004-02-09 13:43:00
733,11,80,0,2004-02-09 13:45:00
734,11,81,0,2004-02-09 13:46:00
735,11,82,0,2004-02-09 13:48:00
736,11,83,0,2004-02-09 13:49:00
737,11,84,0,2004-02-09 13:50:00
738,11,85,0,2004-02-09 13:53:00
739,11,86,0,2004-02-09 13:54:00
743,11,90,0,2004-02-09 13:56:00
868,11,215,0,2004-02-09 09:35:00
869,11,216,0,2004-02-09 09:38:00
848,11,195,0,2004-02-09 16:58:00
849,11,196,0,2004-02-09 17:00:00
852,11,200,0,2004-02-09 17:02:00
853,11,201,0,2004-02-09 17:05:00
854,11,202,0,2004-02-09 17:08:00
855,11,203,0,2004-02-09 17:09:00
856,11,204,0,2004-02-09 17:10:00
858,11,206,0,2004-02-09 17:12:00
859,11,207,0,2004-02-09 17:15:00
860,11,208,0,2004-02-09 17:17:00
861,11,209,0,2004-02-09 17:19:00
862,11,197,0,2004-02-09 17:21:00
863,11,210,0,2004-02-09 17:24:00
670,11,17,0,2004-02-09 17:25:00
671,11,18,0,2004-02-09 17:28:00
978,11,325,0,2004-02-09 17:30:00
979,11,326,0,2004-02-09 17:32:00
980,11,327,0,2004-02-09 17:34:00
875,11,222,0,2004-02-09 17:37:00
876,11,223,0,2004-02-09 17:39:00
877,11,224,0,2004-02-09 17:42:00
878,11,225,0,2004-02-09 17:44:00
881,11,228,0,2004-02-09 17:47:00
882,11,229,0,2004-02-09 17:49:00
883,11,230,0,2004-02-09 17:51:00
884,11,231,0,2004-02-09 17:53:00
885,11,232,0,2004-02-09 17:55:00
886,11,233,0,2004-02-09 17:57:00
887,11,234,0,2004-02-09 18:01:00
892,11,239,0,2004-02-09 18:03:00
896,11,243,0,2004-02-09 18:06:00
897,11,244,0,2004-02-09 18:07:00
755,11,102,0,2004-02-09 13:58:00
756,11,103,0,2004-02-09 13:59:00
